ID,Feature,Scenario,Priority,Status,Tester,Date,Notes
S1-01,Health Check,Verify health endpoint returns system status,P0,AUTO_PASS,automated,2026-04-11,test_api.py::TestHealthAndSession::test_health - checks 200 + status/sessions/db/llm_configured
S1-02,Health Check,DB down returns degraded status,P1,MANUAL_REQUIRED,manual,2026-04-11,Requires simulating DB failure at runtime
S1-03,Session Create,Create new session,P0,AUTO_PASS,automated,2026-04-11,test_api.py::TestHealthAndSession::test_create_session - checks 201 + session_id
S1-04,Session Create,Rate limit enforced at 30/hour,P1,VERIFIED,code-review,2026-04-11,Rate limiter disabled in tests; decorator present on endpoint (api.py:205)
S1-05,Session Create,Session cleanup evicts expired sessions (TTL 3600s),P1,MANUAL_REQUIRED,manual,2026-04-11,Requires waiting >3600s or manipulating time
S1-06,Session Create,Max 500 concurrent sessions enforced,P2,AUTO_PASS,automated,2026-04-11,test_api.py::TestSessionCleanup::test_max_sessions_enforced
S1-07,Profile Set,Create profile and initialize agent,P0,AUTO_PASS,automated,2026-04-11,test_api.py::TestProfile::test_set_profile - checks 201 + message + currency
S1-08,Profile Set,Profile validation -- name max 200 chars,P1,VERIFIED,code-review,2026-04-11,schemas.py:16 has max_length=200 on name field; Pydantic enforces
S1-09,Profile Set,Profile validation -- invalid email,P1,VERIFIED,code-review,2026-04-11,schemas.py:17 has EmailStr validator; Pydantic enforces
S1-10,Profile Set,Profile validation -- years_of_experience range 0-70,P1,VERIFIED,code-review,2026-04-11,schemas.py:22 has ge=0 le=70; Pydantic enforces
S1-11,Profile Set,URL validation -- portfolio_url must start with http(s)://,P1,VERIFIED,code-review,2026-04-11,schemas.py:35-42 has custom validator for URL prefix
S1-12,Profile Set,Skills deduplication on create,P1,AUTO_PASS,automated,2026-04-11,test_models.py::test_user_profile_deduplication - verifies duplicate skills removed
S1-13,Profile Set,Rate limit 10/minute,P2,VERIFIED,code-review,2026-04-11,Rate limiter decorator present on endpoint (api.py:213)
S1-14,Profile Get,Retrieve saved profile,P0,VERIFIED,code-review,2026-04-11,Endpoint exists and returns profile; no dedicated happy-path test with full roundtrip
S1-15,Profile Get,No profile returns 404,P1,AUTO_PASS,automated,2026-04-11,test_api.py::TestProfile::test_get_profile_no_profile
S1-16,Session Missing,Endpoint without session header,P1,AUTO_PASS,automated,2026-04-11,test_api.py::TestHealthAndSession::test_missing_session_header + test_auth.py::test_get_user_id_legacy_missing_header
S1-17,Signup,Create new account via GCP Identity Platform,P0,MANUAL_REQUIRED,manual,2026-04-11,Requires GCP Identity Platform API key; external service
S1-18,Signup,Auth service not configured,P1,VERIFIED,code-review,2026-04-11,routers/auth.py:40-44 checks for empty API key and returns 503
S1-19,Signup,Password too short (<6 chars),P1,VERIFIED,code-review,2026-04-11,schemas.py:152 has min_length=6; Pydantic enforces
S1-20,Signup,Rate limit 10/hour,P2,VERIFIED,code-review,2026-04-11,Rate limiter decorator present on endpoint (routers/auth.py:37)
S1-21,Login,Sign in with email and password,P0,MANUAL_REQUIRED,manual,2026-04-11,Requires GCP Identity Platform; external service
S1-22,Login,Wrong password,P1,MANUAL_REQUIRED,manual,2026-04-11,Requires GCP Identity Platform; external service
S1-23,Login,Rate limit 20/hour,P2,VERIFIED,code-review,2026-04-11,Rate limiter decorator present on endpoint (routers/auth.py:69)
S1-24,Google OAuth,Exchange Google ID token for credentials,P0,MANUAL_REQUIRED,manual,2026-04-11,Requires real Google OAuth flow; external service
S1-25,Token Refresh,Exchange refresh token for new ID token,P0,MANUAL_REQUIRED,manual,2026-04-11,Requires GCP Identity Platform; external service
S1-26,Sign Out,Delete server-side session,P0,MANUAL_REQUIRED,manual,2026-04-11,Requires running server with active session
S1-27,Auth Guard,Bearer token required when AUTH_ENABLED=true,P0,AUTO_PASS,automated,2026-04-11,test_auth.py::test_get_user_id_auth_missing_bearer - checks 401
S1-28,Auth Guard,Expired token rejected,P1,AUTO_PASS,automated,2026-04-11,test_auth.py::test_verify_expired_token - checks 401
S1-29,Generate Tasks,Generate tasks for a role,P0,MANUAL_REQUIRED,manual,2026-04-11,Requires LLM call via onboarding router; no test coverage
S1-30,Generate Tasks,Role max length 200,P1,VERIFIED,code-review,2026-04-11,schemas.py:179 has max_length=200; Pydantic enforces
S1-31,Generate Skills,Generate skills from role + tasks,P0,MANUAL_REQUIRED,manual,2026-04-11,Requires LLM call via onboarding router; no test coverage
S1-32,Identity Statement,Generate career identity statement,P0,MANUAL_REQUIRED,manual,2026-04-11,Requires LLM call via onboarding router; no test coverage
S1-33,Confirm Profile,Finalize profile after onboarding wizard,P0,MANUAL_REQUIRED,manual,2026-04-11,Requires full onboarding flow; no test coverage
S1-34,Confirm Profile,Non-compete companies stored,P1,VERIFIED,code-review,2026-04-11,routers/onboarding.py:98 stores non_compete_companies field
S1-35,Search V1,Basic job search,P0,AUTO_PASS,automated,2026-04-11,test_routers_golden.py::TestJobsRouter::test_search_jobs - checks 200 + response/job_ids
S1-36,Search V1,Max results capped at 50,P1,AUTO_PASS,automated,2026-04-11,test_api.py::TestInputValidation::test_max_results_bounds - checks 422
S1-37,Search V1,Job cache max 200 -- oldest evicted,P1,VERIFIED,code-review,2026-04-11,routers/jobs.py:53-55 and agent.py:57 enforce cache max
S1-38,Search V2,Enhanced search with filters and pagination,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for /api/jobs/search/v2 endpoint
S1-39,Search V2,Sort by date,P1,MANUAL_REQUIRED,manual,2026-04-11,No test for V2 sort_by=date
S1-40,Search V2,Invalid sort_by value,P1,VERIFIED,code-review,2026-04-11,schemas.py:230 has pattern validation; Pydantic enforces
S1-41,Job Detail,Get specific job by ID,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for /api/jobs/{job_id} endpoint
S1-42,Job Detail,Job not found,P1,MANUAL_REQUIRED,manual,2026-04-11,No test for job not found 404
S1-43,Save Job,Save a job to user's list,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for /api/jobs/{job_id}/save endpoint
S1-44,Save Job,Duplicate save returns already saved,P1,MANUAL_REQUIRED,manual,2026-04-11,No test for duplicate save
S1-45,Unsave Job,Remove job from saved list,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for DELETE /api/jobs/{job_id}/save
S1-46,Saved Jobs,List all saved jobs,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for GET /api/jobs/saved
S1-47,Job Import,Import job from Chrome extension,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for /api/jobs/import endpoint
S1-48,Job Import,Duplicate URL returns is_duplicate=true,P1,MANUAL_REQUIRED,manual,2026-04-11,No test for duplicate import
S2-01,Dream Analysis,Run career dream analysis,P0,AUTO_PASS,automated,2026-04-11,test_career_dreamer.py::TestBuildGapReport::test_returns_gap_report - unit test for dreamer module
S2-02,Dream Analysis,Timeline range 1-120 months,P1,VERIFIED,code-review,2026-04-11,routers/career.py:22 has le=120 on timeline_months; Pydantic enforces
S2-03,Dream Detail,Get saved dream by ID,P0,MANUAL_REQUIRED,manual,2026-04-11,No router-level test for GET /api/career/dream/{id}/detail
S2-04,Dream Detail,Dream not found,P1,MANUAL_REQUIRED,manual,2026-04-11,No test for dream 404
S2-05,Find Jobs,Get search terms from dream,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for POST /api/career/dream/{id}/find-jobs
S2-06,Save Dream,Save dream to database,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for POST /api/career/dream/{id}/save
S2-07,Save Dream,Duplicate save returns already saved,P1,MANUAL_REQUIRED,manual,2026-04-11,No test for duplicate dream save
S2-08,List Dreams,List all saved career dreams,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for GET /api/career/dreams
S2-09,Career Report,Generate comparison report across dreams,P1,MANUAL_REQUIRED,manual,2026-04-11,No test for GET /api/career/report
S2-10,Calibrate,Calibrate salary for role across locations,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for /api/salary/calibrate endpoint
S2-11,Calibrate,Role max length 500,P1,VERIFIED,code-review,2026-04-11,routers/salary.py:19 has max_length=500; Pydantic enforces
S2-12,Negotiate,Generate counter-offer strategy,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for /api/salary/negotiate endpoint
S2-13,Negotiate,Competing offer included in prompt,P1,MANUAL_REQUIRED,manual,2026-04-11,No test for competing offer in prompt
S2-14,Compare,Compare multiple offers,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for /api/salary/compare-offers
S2-15,Resume,Generate tailored resume,P0,AUTO_PASS,automated,2026-04-11,test_document_generator.py::TestDocumentGenerator::test_generate_resume_with_ats - unit test
S2-16,Resume,Invalid tone rejected,P1,AUTO_PASS,automated,2026-04-11,test_api.py::TestInputValidation::test_tone_whitelist - checks 422
S2-17,Resume,Job ID not in cache,P1,AUTO_PASS,automated,2026-04-11,test_agent_dispatch.py::TestDispatchTool::test_generate_resume_missing_job - returns error
S2-18,Cover Letter,Generate tailored cover letter,P0,AUTO_PASS,automated,2026-04-11,test_document_generator.py::TestDocumentGenerator::test_generate_cover_letter - unit test
S2-19,Templates,List available resume templates,P0,AUTO_PASS,automated,2026-04-11,test_routers_golden.py::TestDocumentsRouter::test_list_templates - checks 200 + templates list
S2-20,Template Detail,Get specific template,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for GET /api/documents/templates/{id}
S2-21,Template Detail,Template not found,P1,VERIFIED,code-review,2026-04-11,routers/documents.py:68 returns 404 for unknown template
